date,year,quarter,month_number,month_name,day,weekday_number,weekday_name,is_weekend,year_month
2016-02-04,2016,1,2,February,4,3,Thursday,False,2016-02
2016-02-05,2016,1,2,February,5,4,Friday,False,2016-02
2016-02-06,2016,1,2,February,6,5,Saturday,True,2016-02
2016-02-07,2016,1,2,February,7,6,Sunday,True,2016-02
2016-02-08,2016,1,2,February,8,0,Monday,False,2016-02
2016-02-09,2016,1,2,February,9,1,Tuesday,False,2016-02
2016-02-10,2016,1,2,February,10,2,Wednesday,False,2016-02
2016-02-11,2016,1,2,February,11,3,Thursday,False,2016-02
2016-02-12,2016,1,2,February,12,4,Friday,False,2016-02
2016-02-13,2016,1,2,February,13,5,Saturday,True,2016-02
2016-02-14,2016,1,2,February,14,6,Sunday,True,2016-02
2016-02-15,2016,1,2,February,15,0,Monday,False,2016-02
2016-02-16,2016,1,2,February,16,1,Tuesday,False,2016-02
2016-02-17,2016,1,2,February,17,2,Wednesday,False,2016-02
2016-02-18,2016,1,2,February,18,3,Thursday,False,2016-02
2016-02-19,2016,1,2,February,19,4,Friday,False,2016-02
2016-02-20,2016,1,2,February,20,5,Saturday,True,2016-02
2016-02-21,2016,1,2,February,21,6,Sunday,True,2016-02
2016-02-22,2016,1,2,February,22,0,Monday,False,2016-02
2016-02-23,2016,1,2,February,23,1,Tuesday,False,2016-02
2016-02-24,2016,1,2,February,24,2,Wednesday,False,2016-02
2016-02-25,2016,1,2,February,25,3,Thursday,False,2016-02
2016-02-26,2016,1,2,February,26,4,Friday,False,2016-02
2016-02-27,2016,1,2,February,27,5,Saturday,True,2016-02
2016-02-28,2016,1,2,February,28,6,Sunday,True,2016-02
2016-02-29,2016,1,2,February,29,0,Monday,False,2016-02
2016-03-01,2016,1,3,March,1,1,Tuesday,False,2016-03
2016-03-02,2016,1,3,March,2,2,Wednesday,False,2016-03
2016-03-03,2016,1,3,March,3,3,Thursday,False,2016-03
2016-03-04,2016,1,3,March,4,4,Friday,False,2016-03
2016-03-05,2016,1,3,March,5,5,Saturday,True,2016-03
2016-03-06,2016,1,3,March,6,6,Sunday,True,2016-03
2016-03-07,2016,1,3,March,7,0,Monday,False,2016-03
2016-03-08,2016,1,3,March,8,1,Tuesday,False,2016-03
2016-03-09,2016,1,3,March,9,2,Wednesday,False,2016-03
2016-03-10,2016,1,3,March,10,3,Thursday,False,2016-03
2016-03-11,2016,1,3,March,11,4,Friday,False,2016-03
2016-03-12,2016,1,3,March,12,5,Saturday,True,2016-03
2016-03-13,2016,1,3,March,13,6,Sunday,True,2016-03
2016-03-14,2016,1,3,March,14,0,Monday,False,2016-03
2016-03-15,2016,1,3,March,15,1,Tuesday,False,2016-03
2016-03-16,2016,1,3,March,16,2,Wednesday,False,2016-03
2016-03-17,2016,1,3,March,17,3,Thursday,False,2016-03
2016-03-18,2016,1,3,March,18,4,Friday,False,2016-03
2016-03-19,2016,1,3,March,19,5,Saturday,True,2016-03
2016-03-20,2016,1,3,March,20,6,Sunday,True,2016-03
2016-03-21,2016,1,3,March,21,0,Monday,False,2016-03
2016-03-22,2016,1,3,March,22,1,Tuesday,False,2016-03
2016-03-23,2016,1,3,March,23,2,Wednesday,False,2016-03
2016-03-24,2016,1,3,March,24,3,Thursday,False,2016-03
2016-03-25,2016,1,3,March,25,4,Friday,False,2016-03
2016-03-26,2016,1,3,March,26,5,Saturday,True,2016-03
2016-03-27,2016,1,3,March,27,6,Sunday,True,2016-03
2016-03-28,2016,1,3,March,28,0,Monday,False,2016-03
2016-03-29,2016,1,3,March,29,1,Tuesday,False,2016-03
2016-03-30,2016,1,3,March,30,2,Wednesday,False,2016-03
2016-03-31,2016,1,3,March,31,3,Thursday,False,2016-03
2016-04-01,2016,2,4,April,1,4,Friday,False,2016-04
2016-04-02,2016,2,4,April,2,5,Saturday,True,2016-04
2016-04-03,2016,2,4,April,3,6,Sunday,True,2016-04
2016-04-04,2016,2,4,April,4,0,Monday,False,2016-04
2016-04-05,2016,2,4,April,5,1,Tuesday,False,2016-04
